ID;CHI_TIEU_ID;MA_BAO_CAO;THUOC_TINH_1;THUOC_TINH_9;THUOC_TINH_10;THUOC_TINH_20;THUOC_TINH_3;THUOC_TINH_25;THUOC_TINH_24;THUOC_TINH_23;THUOC_TINH_26;THUOC_TINH_16;THUOC_TINH_17;THUOC_TINH_19;THUOC_TINH_8;THUOC_TINH_15
3200;3081;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0101;;;;;COT_2
3201;3082;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;;;;;COT_2
3202;3083;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6105;;;;COT_2
3203;3084;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6253;;;;COT_2
3204;3085;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6503;;;;COT_2
3205;3086;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^7757;;;;COT_2
3206;3087;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^7001;;;;COT_2
3207;3088;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6503|^6701|^6702|^6703|^6704|^7008;;;;COT_2
3208;3090;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^7767;;;;COT_2
3209;3091;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6800;;;;COT_2
3210;3092;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6752;;;;COT_2
3211;3093;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^7017;;;;COT_2
3212;3094;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;;^704903|^704904;;;COT_2
3213;3095;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^7756;^704999|^704904;;;COT_2
3214;3096;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^7004;;;;COT_2
3215;3097;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^7763;;;;COT_2
3216;3098;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6758;;;;COT_2
3217;3101;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6956;;;;COT_2
3218;3102;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6912|^7053;;;;COT_2
3219;3103;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6605;;;;COT_2
3220;3104;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^7054;;;;COT_2
3221;3106;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6951|^6952|^6953;;;;COT_2
3222;3107;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;;^695415;;;COT_2
3223;3108;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;^6999;;;;COT_2
3224;3109;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;;^695406;;;COT_2
3225;3110;TCKT_BC_63;N-C;^008;;<DN;;;10;341;0102;;^695405;;;COT_2
